,Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,datetime,open,low,high,close,action,P/L,Total profit
32,32,-2.4414381196103894,1.8686427350961308,0.12089940933624965,-0.07267838291171876,-0.10858505747161444,-0.06219966288955772,-0.032821183785554896,0.0010061905898680952,-0.0113786444714331,0.0068212142733219475,-0.0021703844223919877,0.008815914562996028,0.003267350636600419,-8.178716212448535e-17,-5.338888034677266e-18,1.0385811348134787e-18,-9.061988693998686e-18,-1.2281271939231393e-18,2018-06-21T13:00:00.000000000Z,1.1589399999999999,1.15754,1.1633799999999999,1.1607399999999999,short,0,0.002
33,33,-2.4786813507175203,-0.10743935421199327,0.10916544766712176,-0.07552308286032909,-0.08092683178122262,-0.06216670644467541,-0.032937382888085856,0.0060592552421756115,0.0029345053661764572,0.004914386208780708,-0.0046763790147503,0.007980297892326528,0.007885587515011628,-3.1693530343135446e-17,-3.572206745047673e-18,1.627259151262041e-18,-7.096696122071898e-19,-8.744640512248378e-19,2018-06-21T17:00:00.000000000Z,1.16076,1.16026,1.16286,1.16028,hold,0.00025999999999990495,0.002
34,34,-2.481844510550532,-0.15520520311788458,0.10868920634567636,-0.0719282999106514,-0.08085882324057904,-0.05874438662829879,-0.03245355275481767,0.003964966530533022,-0.004809224518104058,0.003043498515542452,-0.009160245391786762,0.003545825458537343,0.0003398097471678808,2.042749853344103e-15,3.3482564094812215e-18,-5.0296587020513e-18,2.9386372669289237e-18,-3.9475375472603196e-18,2018-06-21T21:00:00.000000000Z,1.16035,1.16004,1.16178,1.16119,hold,-0.0006500000000000614,0.002
35,35,-2.4825918911145983,-0.2400029563957926,0.104292321263788,-0.07275803992496417,-0.0789872486613504,-0.055806778356473775,-0.03317909754875169,0.0035573495752462938,-7.566009462669585e-05,0.0013814906086942295,-0.00970748234138312,0.0006819721732111223,-0.004629701228012828,3.113865252017478e-15,9.732651830332735e-19,-1.5949441402034155e-18,3.545957779223036e-18,-1.6127397781406962e-18,2018-06-22T01:00:00.000000000Z,1.16124,1.16006,1.16155,1.16136,hold,-0.0008200000000000649,0.002
36,36,-2.4011177279702025,1.9398890315557056,0.06894960992077495,-0.10729983742091133,-0.08390084640837428,-0.057215701217409085,-0.02291581718526144,0.005044974811134114,-0.03254314129625623,-0.0010648822379485264,-0.004401973168088679,0.0008486174139776968,-0.0004275039289158107,-2.152662136450491e-15,-4.826694787486651e-18,-4.207807048862252e-19,-1.2850141310901434e-18,-2.2902461877972188e-18,2018-06-22T05:00:00.000000000Z,1.16136,1.16136,1.16737,1.1669,short_buy,-0.001,0.001
37,37,-2.3990195530039315,1.4104781028544944,0.052473959918955336,-0.11917028125069108,-0.07046555153535722,-0.05681346274817262,-0.02695766969896284,0.003399054512267454,0.011217026586077676,-0.0015415501565156722,-0.009025691551646158,0.0003037100218644401,-0.0070907465520979405,9.709632437675962e-16,3.463048317448616e-18,9.820879293696043e-20,-2.0671753304962386e-19,-4.554034753196904e-18,2018-06-22T09:00:00.000000000Z,1.16685,1.1632200000000001,1.16754,1.1654200000000001,short,0,0.001
38,38,-2.4095137062383665,1.3263708748753251,0.06313752977564295,-0.10548325603007844,-0.06807990553025955,-0.052811259391707575,-0.02586541226969468,0.0027146294678905922,0.005771180915808081,-0.002835233901797459,-0.0040819218951716535,-0.002059390465934099,-0.008284488356936936,-6.326137488720682e-17,3.676436945819641e-18,-1.1181064428346798e-18,1.1968214378050227e-18,2.28893161276116e-18,2018-06-22T13:00:00.000000000Z,1.16539,1.16174,1.16664,1.1648,hold,0.00042000000000006496,0.001
39,39,-2.4342227751908667,-0.16699279668145373,0.05334326912760725,-0.10901717147753523,-0.04367262531351291,-0.05335012218494263,-0.025966347993972908,0.002125538444626027,-0.0036727593650660666,-0.004204518301701882,-0.006902217731049753,-0.0015450364815471696,0.0032244365633733608,2.0832718598897568e-15,8.083258595605375e-18,-8.678649158655292e-19,-4.411855350554869e-18,4.2207035071267004e-18,2018-06-22T17:00:00.000000000Z,1.1648,1.16466,1.16676,1.16574,hold,-0.0005199999999998759,0.001
40,40,-2.426825232359997,-0.15342373371071072,0.044876001005777336,-0.1130708697367202,-0.04026572755945596,-0.0504550364495082,-0.02908907381523359,-5.207322092199128e-06,0.0072717609286838125,-0.005277806620376333,-0.00626121044652941,-0.0030212428580904146,0.0013976948235138776,3.3314106097932947e-17,4.2068676557322345e-18,2.9085463263587887e-18,-1.619855912830388e-19,5.000500009197914e-18,2018-06-24T21:00:00.000000000Z,1.1664700000000001,1.1651799999999999,1.16726,1.1656600000000001,hold,-0.00044000000000001796,0.001
41,41,-2.428388679616845,0.013519077629226377,0.05079996279972141,-0.10289627145116756,-0.04158791336414303,-0.0459882655517947,-0.029326459168988045,-0.004605141416893033,0.004759124406926434,-0.006970266405029534,-0.010306101679676551,-0.005163001735682196,-0.00032399034229701237,-6.151011687181465e-17,-2.805935660732746e-18,1.2827901571798042e-19,-4.223683477864357e-18,2.890852929931988e-18,2018-06-25T01:00:00.000000000Z,1.16564,1.16462,1.16608,1.1652200000000001,hold,-2.2036409155767878e-17,0.001
42,42,-2.3989558233587096,1.326474400884106,0.05039186384526748,-0.10295409554800124,-0.05653585157852869,-0.041103301753474215,-0.031537568570912444,-0.008627558176027691,-0.0018958742861724,-0.007300347902141756,-0.004033206177222486,-0.0072620970649034545,-0.005121337076527757,-1.1260608627434589e-15,7.448422235678346e-18,-6.53798777461344e-19,5.48794804536732e-19,6.399446336291829e-19,2018-06-25T05:00:00.000000000Z,1.16526,1.1628399999999999,1.16711,1.1659,hold,-0.0006799999999998139,0.001
43,43,-2.383242506072038,1.0172608933156468,0.030161818165656527,-0.11462645222354205,-0.03360604348781642,-0.040370966579268565,-0.02055479424698821,0.004371583360853649,-0.01202846806578018,-0.01027199178651884,0.006577814252840084,-0.005045083074517949,-0.001080400318267572,-1.1641932543700514e-17,-3.549146220239222e-18,4.406493377532561e-18,-4.1229682414029885e-18,2.66531816303139e-18,2018-06-25T09:00:00.000000000Z,1.1659,1.16392,1.1702,1.16824,short_buy,-0.001,0.0
44,44,-2.3740943843647915,0.6799980484557224,0.012269627495648836,-0.1277716776958839,-0.02236207470583349,-0.03929931035621409,-0.02502042611394526,-0.0052365873930257465,-0.002451349152105684,-0.010920655086506326,-0.007604047249124934,-0.004983681524416822,-0.0008802263693632185,2.145169186768644e-15,4.54190524920647e-19,-3.2366933783151605e-18,1.6746961817922717e-18,6.8713088137518955e-19,2018-06-25T13:00:00.000000000Z,1.16828,1.16714,1.17019,1.16917,short,0,0.0
45,45,-2.376311089082722,-0.1605780125982517,-0.0020909236290086878,-0.13414463916652794,0.0012174497612089234,-0.038511322309620746,-0.022136721860262047,-0.002361234512356312,-0.0044506297073165025,-0.0125974787813252,-0.005899963869842468,-0.002798715915636685,0.003471364958755985,-1.1045346140652229e-15,8.748223205164405e-19,4.428919964196971e-18,-5.410823452248914e-20,2.2373810117981006e-18,2018-06-25T17:00:00.000000000Z,1.1691200000000002,1.1691200000000002,1.17134,1.1703700000000001,short_buy,-0.001,-0.001
46,46,-2.3730467723982738,-0.3356459998207458,-0.007236839179726391,-0.13497522120144842,0.008883331141319362,-0.035998767917782545,-0.025566850604686886,-0.007719661798420402,0.003427397611160545,-0.012845702799066978,-0.009135639910695471,-0.001675639721198295,-3.567710616201555e-05,-1.3176125744226291e-17,-9.291225263631272e-19,6.309530419842863e-19,-3.1009407323717116e-18,5.753859464751489e-19,2018-06-25T21:00:00.000000000Z,1.17042,1.1698899999999999,1.17105,1.17042,short,0,-0.001
47,47,-2.3554196246896018,-0.008952705409497894,-0.013913030971254608,-0.13700851984700868,0.014297007585761091,-0.03304052985468914,-0.02508794162479664,-0.009706196476846231,-0.0027693672721129754,-0.013952445836971538,-0.006541067400142086,7.432234474632086e-05,0.00042423477773537253,1.0758333786533574e-15,-4.608936253576335e-18,-3.2542325710220693e-18,-3.877507879490624e-19,2.0379339459261862e-18,2018-06-26T01:00:00.000000000Z,1.17044,1.1701,1.17212,1.17144,short_buy,-0.001,-0.002
48,48,-2.3355917923985943,1.289731865035053,0.0017961810040494656,-0.11777275546474235,-0.006230249040153403,-0.022259769829719167,-0.029118725193269305,-0.009177832222111713,0.027963705283196184,-0.014568253474558241,-0.0004918451623029982,0.00025319878372821904,0.0006950499708279262,-4.031473177257026e-17,-4.252422748272286e-18,-5.4793790355181885e-18,5.6721523013590684e-18,2.0009952478128084e-18,2018-06-26T05:00:00.000000000Z,1.17147,1.16696,1.17188,1.1672799999999999,short,0,-0.002
49,49,-2.3455298327397966,1.5238966234704334,0.025099845455993648,-0.0882383672313077,-0.014928815924040875,-0.013300343184517562,-0.02774936901106777,-0.014313733598743784,0.002406269657627172,-0.017300488119959156,-0.011611444977896852,-0.002827050491771777,-0.0036840694930210787,-5.627936586485225e-19,-1.69034665610875e-18,-2.575847163594433e-18,-6.937362739539086e-19,1.5077029709294799e-18,2018-06-26T09:00:00.000000000Z,1.1672799999999999,1.16511,1.16845,1.16713,hold,-5.000000000012755e-05,-0.002
50,50,-2.359626065913648,0.9336307354152557,0.02957717765034864,-0.07655143751996253,-0.009268598622725563,-0.0073601814676087516,-0.029448674128633563,-0.010734010448981623,0.008886297544806259,-0.01834248914629136,-0.010534203980812552,-0.0013849245039620453,-0.0007221646004874536,-1.1156339365102618e-15,1.4638639591452508e-18,2.3410523018539724e-18,-4.623038404321243e-19,-9.65774707110788e-19,2018-06-26T13:00:00.000000000Z,1.16714,1.16498,1.16774,1.16582,hold,0.0012599999999997947,-0.002
51,51,-2.3892890707181267,0.005055001331657499,0.04333853990382313,-0.05571413466430596,0.0005673051769503506,-0.0015823238662497187,-0.028770248536258005,-0.004861012865554303,0.00696843991302323,-0.01926644998007115,-0.004249236206862143,-0.0003611407786624296,-0.0034956764823769145,-1.0481281891835724e-15,-5.117550297845761e-18,1.604624822308114e-19,-2.0513060038529592e-19,-1.149307579237893e-20,2018-06-26T17:00:00.000000000Z,1.16577,1.1634799999999998,1.16608,1.16465,short_buy,0.002,0.0
